id,TotalCycle_h,Weight_T,SoakingTime_h,TargetTemp_C,EnergyConsumption_m3
6079,6.1367,4.143,4,630,216.25
6078,10.2394,7.408,4,900,589.77
6077,4.6983,6.053,3,620,178.35
6076,8.0369,6.054,3,930,475.25
6075,5.1753,4.703,3,620,191.74
6074,8.3178,4.703,3,930,484.46
6073,4.9133,5.231,3,620,188.03
6072,8.2769,5.231,3,930,492.92
6071,6.1056,7.789,3.5,620,248.85
6070,8.7767,7.397,3,930,546.99
6069,8.1592,9.48,5,650,369.35
6068,6.6403,5.075,5,590,218.55
6067,11.1383,6.568,5,930,612.4
6066,7.1061,6.882,5,650,274.2
6065,8.1422,5.696,3,950,494.22
6064,4.8181,5.42,3,620,180.36
6063,7.9311,5.42,3,930,447.89
6062,8.8358,5.696,3,950,484.59
6061,9.1750,5.696,3,950,518.07
6060,11.4447,8.337,5,900,624.55
6059,4.7108,5.923,3,620,177.15
6058,7.9361,5.923,3,930,457.51
6057,6.9061,4.2,5,590,183.7
6056,12.3328,6.866,7,900,633.77
6055,10.3989,9.475,5,930,598.52
6054,7.6261,6.421,5,650,320.65
6053,4.8131,6.048,3,620,179.2
6052,7.7806,6.048,3,930,460.67
6051,5.1147,6.517,3,620,197.86
6050,8.7403,6.517,3,930,509.64
6049,4.8172,6.693,3,620,195.13
6048,10.8144,6.693,3,930,612.69
6047,7.4117,8.472,5,650,319.37
6046,9.8264,4.74,5,930,607.11
6045,6.7325,5.674,3,620,241.19
6044,8.8758,5.674,3,930,522.23
6043,4.8464,5.004,3,620,178.72
6042,7.5944,5.004,3,930,434.12
6041,0.0139,7.436,6,710,58.86
6040,9.4961,7.436,6,710,375.66
6039,10.7886,9.484,5,900,580.74
6038,11.8281,7.436,6,990,690.13
6037,4.8708,4.563,3,620,169.02
6036,7.4367,4.563,3,930,414.31
6035,4.8225,6.63,3,620,190.64
6034,7.9492,6.63,3,930,459.95
6033,4.8672,4.283,3,620,178.17
6032,7.6611,5.034,3,930,450.49
6031,6.8689,5.256,5,590,256.89
6030,NULL,5.034,3,930,NULL
6029,9.5667,7.3,5,900,553.84
6028,6.0519,7.24,4.5,560,234.6
6027,4.7364,4.24,3,620,166.6
6026,7.6500,4.7,3,930,438.58
6025,4.9856,5.84,3,620,175.07
6024,7.6447,5.84,3,930,436.38
6023,4.7389,5.172,3,620,179.87
6022,7.6181,5.696,3,950,438.64
6021,NULL,5.696,3,950,NULL
6020,8.3861,5.172,3,930,456.48
6019,4.7250,5.062,3,620,155.56
6018,8.1750,6.344,3,930,467.09
6017,8.1433,6.398,3,930,449.99
6016,5.5453,5.558,3.5,620,210.39
6015,8.4719,5.558,3.5,930,497.59
6014,5.0586,6.391,3,620,221.7
6013,9.2319,6.391,3,930,586.18
6012,8.7283,5.735,7,590,298.69
6011,12.6500,7.896,7,900,702.48
6010,4.7731,6.574,3,620,201.57
6009,NULL,6.574,3,620,NULL
6008,7.9100,6.574,3,930,499.86
6007,4.9358,5.625,3,620,67.24
6006,7.6972,5.625,3,930,496.24
6005,4.7842,4.827,3,620,206.28
6004,9.3133,4.827,3,930,641.28
6003,1.3942,12.345,5,900,8.24
6002,25.9867,4.827,3,930,3.08
6001,8.0436,5.263,3,930,465.68
6000,4.7314,5.44,3,620,183.99
5999,7.6969,5.44,3,930,460.91
5998,NULL,5.44,3,930,NULL
5997,4.7500,5.383,3,620,195.03
5996,7.9525,5.383,3,930,479.23
5995,4.8192,5.898,3,620,196.87
5994,9.3792,5.898,3,930,560.93
5993,4.0986,5.779,2,570,155.18
5992,4.7947,6.739,3,620,192.16
5991,8.3433,6.739,3,930,498.38
5990,4.7583,5.94,3,620,179.59
5989,7.7572,5.94,3,930,463.12
5988,4.7908,5.26,3,620,182.78
5987,8.0069,6.5,3,950,481.05
5986,7.9303,5.284,3,930,476.71
5985,5.2167,5.125,3.5,620,199.77
5984,NULL,5.125,3,620,NULL
5983,9.8750,7.904,5,900,521.64
5982,8.8758,5.125,3.5,930,491.93
5981,4.8464,5.635,3,620,188.15
5980,7.6892,5.696,3,950,467.08
5979,8.1050,5.635,3,930,502.84
5978,4.1575,2.943,3,500,117.86
5977,7.7697,9.707,5,650,358.16
5976,9.1847,7.036,3,930,594.55
5975,4.7211,4.783,3,620,188.84
5974,8.1547,4.783,3,930,494.27
5973,4.8119,4.452,3,620,192.54
5972,8.9739,4.452,3,930,521.68
5971,7.7511,9.485,5,650,385.18
5970,5.4786,4.992,4,550,189.61
5969,10.1483,4.992,4,900,612.51
5968,4.8522,6.054,3,620,197.65
5967,7.9739,6.054,3,930,479.15
5966,4.8833,5.721,3,610,186.79
5965,8.4956,5.721,3,930,513.46
5964,4.6836,5.404,3,620,174.33
5963,7.5678,5.404,3,930,413.79
5962,10.0328,9.484,5,900,532.74
5961,4.7617,6.317,3,620,184.33
5960,7.5764,6.317,3,930,445.25
5959,7.4467,8.613,5,650,332.6
5958,3.4972,4.083,2,590,130.78
5957,5.1089,5.194,3,620,169.05
5956,10.2778,10.26,5,900,536.7
5955,7.1128,5.194,3,930,398.1
5954,4.8350,5.349,3,620,198.78
